paper_title,venue,year,author_names,bibtex,abstract,pdf_url,google_search_url,source_page_url
Evolving QWOP gaits,GECCO '14 Proceedings of the 2014 conference on Genetic and evolutionary computation ACM Vancouver pp. 823-830,2014,Steven Ray Vahl Scott Gordon Laurent Vaucher,@inproceedings{42902 title = {Evolving QWOP gaits} author = {Steven Ray and Vahl Scott Gordon and Laurent Vaucher} year = 2014 URL = {http://dl.acm.org/citation.cfm?id=2598248} booktitle = {GECCO '14 Proceedings of the 2014 conference on Genetic and evolutionary computation} pages = {823-830} address = {Vancouver} },QWOP is a popular Flash game in which a human player controls a sprinter in a simulated 100-meter dash. The game is notoriously difficult owing to its ragdoll physics engine and the simultaneous movements that must be carefully coordinated to achieve forward progress. While previous researchers have evolved gaits using simulations similar to QWOP we describe a software interface that connects directly to QWOP itself incorporating a genetic algorithm to evolve actual QWOP gaits. Since QWOP has no API ours detects graphical screen elements and uses them to build a fitness function. Two variable-length encoding schemes that codify sequences of QWOP control commands that loop to form gaits are tested. We then compare the performance of SGA Genitor and a Cellular Genetic Algorithm on this task. Using only the end score as the basis for fitness the cellular algorithm is consistently able to evolve a successful scooting strategy similar to one most humans employ. The results confirm that steady-state GAs are preferred when the task is sensitive to small input variations. Although the limited feedback does not yet produce performance competitive with QWOP champions it is the first autonomous software evolution of successful QWOP gaits.,http://research.google.com/pubs/archive/42902.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Evolving+QWOP+gaits+Ray+Gordon+Vaucher,http://research.google.com/pubs/pub42902.html
ViSQOL: an objective speech quality model,EURASIP Journal on Audio Speech and Music Processing vol. 2015 (13) (2015) pp. 1-18,2015,Andrew Hines Jan Skoglund Anil Kokaram Naomi Harte,@article{43990 title = {ViSQOL: an objective speech quality model} author = {Andrew Hines and Jan Skoglund and Anil Kokaram and Naomi Harte} year = 2015 journal = {EURASIP Journal on Audio Speech and Music Processing} pages = {1-18} volume = {2015 (13)} },This paper presents an objective speech quality model ViSQOL the Virtual Speech Quality Objective Listener. It is a signal-based full-reference intrusive metric that models human speech quality perception using a spectro-temporal measure of similarity between a reference and a test speech signal. The metric has been particularly designed to be robust for quality issues associated with Voice over IP (VoIP) transmission. This paper describes the algorithm and compares the quality predictions with the ITU-T standard metrics PESQ and POLQA for common problems in VoIP: clock drift associated time warping and playout delays. The results indicate that ViSQOL and POLQA significantly outperform PESQ with ViSQOL competing well with POLQA. An extensive benchmarking against PESQ POLQA and simpler distance metrics using three speech corpora (NOIZEUS and E4 and the ITU-T P.Sup. 23 database) is also presented. These experiments benchmark the performance for a wide range of quality impairments including VoIP degradations a variety of background noise types speech enhancement methods and SNR levels. The results and subsequent analysis show that both ViSQOL and POLQA have some performance weaknesses and under-predict perceived quality in certain VoIP conditions. Both have a wider application and robustness to conditions than PESQ or more trivial distance metrics. ViSQOL is shown to offer a useful alternative to POLQA in predicting speech quality in VoIP scenarios.,,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=ViSQOL:+an+objective+speech+quality+model+Hines+Skoglund+Kokaram+Harte,http://research.google.com/pubs/pub43990.html
A Class-Based Agreement Model For Generating Accurately Inflected Translations,50th Annual Meeting of the Association for Computational Linguistics (ACL 2012),2012,Spence Green John DeNero,@inproceedings{38107 title = {A Class-Based Agreement Model For Generating Accurately Inflected Translations} author = {Spence Green and John DeNero} year = 2012 booktitle = {50th Annual Meeting of the Association for Computational Linguistics (ACL 2012)} },When automatically translating from a weakly inflected source language like English to a target language with richer grammatical features such as gender and dual number the output commonly contains morpho-syntactic agreement errors. To address this issue we present a target-side class-based agreement model. Agreement is promoted by scoring a sequence of fine-grained morpho-syntactic classes that are predicted during decoding for each translation hypothesis. For English-to-Arabic translation our model yields a +1.04 BLEU average improvement over a state-of-the-art baseline. The model does not require bitext or phrase table annotations and can be easily implemented as a feature in many phrase-based decoders.,http://research.google.com/pubs/archive/38107.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=A+Class-Based+Agreement+Model+For+Generating+Accurately+Inflected+Translations+Green+DeNero,http://research.google.com/pubs/pub38107.html
Comparing In-Browser Methods of Measuring Resource Load Times,W3C Workshop on Web Performance 8 W3C W3C/MIT 32 Vassar Street Room 32-G515 Cambridge MA 02139 USA (2012),2012,Eric Gavaletz Dominic Hamon Jasleen Kaur,@inproceedings{40592 title = {Comparing In-Browser Methods of Measuring Resource Load Times} author = {Eric Gavaletz and Dominic Hamon and Jasleen Kaur} year = 2012 URL = {http://www.w3.org/2012/10/unc.edu.perf.paper.pdf} booktitle = {W3C Workshop on Web Performance 8} address = {W3C/MIT 32 Vassar Street Room 32-G515 Cambridge MA 02139 USA} },When looking for an excellent platform for conducting end_-to-_end network performance measurement that is large_-scale and representative researchers should look no further than the browser___ -- after all browsers are installed everywhere and are used multiple times per day by most Internet users. In this work we investigate the use of the DOM XHR and Navigation Timing API for measuring HTTP response times within browsers with the goal of estimating path latency and throughput. The response times are measured using a set of popular browsers in a controlled environment___this helps us isolate the differences between the browsers as well as study how closely the measurements match the ground truth. We show that in general the XHR method yields the most consistent measurements across browsers but that the new Navigation Timing and the proposed Resource Timing APIs could change that. We also use the measurements from our controlled environment to study the impact of each of our investigated measurement methods on a hypothetical measurement study.,http://research.google.com/pubs/archive/40592.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Comparing+In-Browser+Methods+of+Measuring+Resource+Load+Times+Gavaletz+Hamon+Kaur,http://research.google.com/pubs/pub40592.html
Question Identification on Twitter Accepted by CIKM 2011,Proceedings of the 20th ACM international conference on Information and knowledge management ACM New York NY USA (2011),2011,Baichuan Li Xiance Si Michael R. Lyu Irwin King Edward Y. Chang,@inproceedings{37565 title = {Question Identification on Twitter Accepted by CIKM 2011} author = {Baichuan Li and Xiance Si and Michael R. Lyu and Irwin King and Edward Y. Chang} year = 2011 URL = {http://dl.acm.org/citation.cfm?id=2063996} booktitle = {Proceedings of the 20th ACM international conference on Information and knowledge management} address = {New York NY USA} },In this paper we investigate the novel problem of auto- matic question identification in the microblog environment. It contains two steps: detecting tweets that contain ques- tions (we call them “interrogative tweets”) and extracting the tweets which really seek information or ask for help (so called “qweets”) from interrogative tweets. To detect inter- rogative tweets both traditional rule-based approach and state-of-the-art learning-based method are employed. To extract qweets context features like short urls and Tweet- specific features like Retweets are elaborately selected for classification. We conduct an empirical study with sampled one hour’s English tweets and report our experimental re- sults for question identification on Twitter.,http://research.google.com/pubs/archive/37565.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Question+Identification+on+Twitter+Accepted+by+CIKM+2011+Li+Si+Lyu+King+Chang,http://research.google.com/pubs/pub37565.html
1ML - core and modules united (F-ing first-class modules),International Conference on Functional Programming ACM-SIGPLAN Vancouver Canada (2015),2015,Andreas Rossberg,@inproceedings{43980 title = {1ML - core and modules united (F-ing first-class modules)} author = {Andreas Rossberg} year = 2015 URL = {https://www.mpi-sws.org/~rossberg/1ml/} booktitle = {International Conference on Functional Programming} address = {Vancouver Canada} },"ML is two languages in one: there is the core with types and expressions and there are modules with signatures structures and functors. Modules form a separate higher-order functional language on top of the core. There are both practical and technical reasons for this stratification; yet it creates substantial duplication in syntax and semantics and it reduces expressiveness. For example selecting a module cannot be made a dynamic decision. Language extensions allowing modules to be packaged up as first-class values have been proposed and implemented in different variations. However they remedy expressiveness only to some extent are syntactically cumbersome and do not alleviate redundancy. We propose a redesign of ML in which modules are truly first-class values and core and module layer are unified into one language. In this ""1ML"" functions functors and even type constructors are one and the same construct; likewise no distinction is made between structures records or tuples. Or viewed the other way round everything is just (""a mode of use of"") modules. Yet 1ML does not require dependent types and its type structure is expressible in terms of plain System F_ in a minor variation of our F-ing modules approach. We introduce both an explicitly typed version of 1ML and an extension with Damas/Milner-style implicit quantification. Type inference for this language is not complete but we argue not substantially worse than for Standard ML. An alternative view is that 1ML is a user-friendly surface syntax for System F_ that allows combining term and type abstraction in a more compositional manner than the bare calculus.",http://research.google.com/pubs/archive/43980.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=1ML+-+core+and+modules+united+(F-ing+first-class+modules)+Rossberg,http://research.google.com/pubs/pub43980.html
Computers and iPhones and Mobile Phones oh my! A logs-based comparison of search users on different devices,WWW 2009 MADRID pp. 801-810,2009,Maryam Kamvar Melanie Kellar Rajan Patel Ya Xu,@inproceedings{35252 title = {Computers and iPhones and Mobile Phones oh my! A logs-based comparison of search users on different devices} author = {Maryam Kamvar and Melanie Kellar and Rajan Patel and Ya Xu} year = 2009 booktitle = {WWW 2009 MADRID} pages = {801-810} },"We present a logs-based comparison of search patterns across three platforms: computers iPhones and conventional mobile phones. Our goal is to understand how mobile search users differ from computer-based search users and we focus heavily on the distribution and variability of tasks that users perform from each platform. The results suggest that search usage is much more focused for the average mobile user than for the average computer-based user. However search behavior on high-end phones resembles computer-based search behavior more so than mobile search behavior. A wide variety of implications follow from these findings. First there is no single search interface which is suitable for all mobile phones. We suggest that for the higher-end phones a close integration with the standard computer-based interface (in terms of personalization and available feature set) would be beneficial for the user since these phones seem to be treated as an extension of the users' computer. For all other phones there is a huge opportunity for personalizing the search experience for the user's ""mobile needs"" as these users are likely to repeatedly search for a single type of information need on their phone.",http://research.google.com/pubs/archive/35252.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Computers+and+iPhones+and+Mobile+Phones+oh+my!+A+logs-based+comparison+of+search+users+on+different+devices+Kamvar+Kellar+Patel+Xu,http://research.google.com/pubs/pub35252.html
Unary Data Structures for Language Models,Interspeech 2011 International Speech Communication Association pp. 1425-1428,2011,Jeffrey Sorensen Cyril Allauzen,@inproceedings{37218 title = {Unary Data Structures for Language Models} author = {Jeffrey Sorensen and Cyril Allauzen} year = 2011 booktitle = {Interspeech 2011} pages = {1425-1428} },Language models are important components of speech recognition and machine translation systems. Trained on billions of words and consisting of billions of parameters language models often are the single largest components of these systems. There have been many proposed techniques to reduce the storage requirements for language models. A technique based upon pointer-free compact storage of ordinal trees shows compression competitive with the best proposed systems while retaining the full finite state structure and without using computationally expensive block compression schemes or lossy quantization techniques.,http://research.google.com/pubs/archive/37218.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Unary+Data+Structures+for+Language+Models+Sorensen+Allauzen,http://research.google.com/pubs/pub37218.html
Planet-Planet Scattering Leads to Tightly Packed Planetary Systems.,The Astrophysical Journal Letters vol. 696 (2011) pp. 98-101,2011,Sean N. Raymond Rory Barnes Dimitri Veras Philip J. Armitage Noel Gorelick Richard Greenberg,@article{42927 title = {Planet-Planet Scattering Leads to Tightly Packed Planetary Systems.} author = {Sean N. Raymond and Rory Barnes and Dimitri Veras and Philip J. Armitage and Noel Gorelick and Richard Greenberg} year = 2011 journal = {The Astrophysical Journal Letters} pages = {98-101} volume = {696} },"The known extrasolar multiple-planet systems share a surprising dynamical attribute: they cluster just beyond the Hill stability boundary. Here we show that the planet-planet scattering model which naturally explains the observed exoplanet eccentricity distribution can reproduce the observed distribution of dynamical configurations. We calculated how each of our scattered systems would appear over an appropriate range of viewing geometries; as Hill stability is weakly dependent on the masses the mass-inclination degeneracy does not significantly affect our results. We consider a wide range of initial planetary mass distributions and find that some are poor fits to the observed systems. In fact many of our scattering experiments overproduce systems very close to the stability boundary. The distribution of dynamical configurations of two-planet systems actually may provide better discrimination between scattering models than the distribution of eccentricity. Our results imply that at least in their inner regions which are weakly affected by gas or planetesimal disks planetary systems should be ""packed"" with no large gaps between planets.",,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Planet-Planet+Scattering+Leads+to+Tightly+Packed+Planetary+Systems.+Raymond+Barnes+Veras+Armitage+Gorelick+Greenberg,http://research.google.com/pubs/pub42927.html
Real World Functional Programming,Manning 20 Baldwin Road PO Box 261 Shelter Island NY 11964 (2010) pp. 500,2010,Tomas Petricek Jon Skeet,@book{37266 title = {Real World Functional Programming} author = {Tomas Petricek and Jon Skeet} year = 2010 booktitle = {Real World Functional Programming} pages = {500} address = {20 Baldwin Road PO Box 261 Shelter Island NY 11964} },Functional programming languages like F# Erlang and Scala are attracting attention as an efficient way to handle the new requirements for programming multi-processor and high-availability applications. Microsoft's new F# is a true functional language and C# uses functional language features for LINQ and other recent advances. Real World Functional Programming is a unique tutorial that explores the functional programming model through the F# and C# languages. The clearly presented ideas and examples teach readers how functional programming differs from other approaches. It explains how ideas look in F#-a functional language-as well as how they can be successfully used to solve programming problems in C#. Readers build on what they know about .NET and learn where a functional approach makes the most sense and how to apply it effectively in those cases.,,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Real+World+Functional+Programming+Petricek+Skeet,http://research.google.com/pubs/pub37266.html
Ontological Supervision for Fine Grained Classification of Street View Storefronts,CVPR15 (2015),2015,Yair Movshovitz-Attias Qian Yu Martin C. Stumpe Vinay Shet Sacha Arnoud Liron Yatziv,@inproceedings{43794 title = {Ontological Supervision for Fine Grained Classification of Street View Storefronts} author = {Yair Movshovitz-Attias and Qian Yu and Martin C. Stumpe and Vinay Shet and Sacha Arnoud and Liron Yatziv} year = 2015 URL = {http://www.cv-foundation.org/openaccess/content_cvpr_2015/papers/Movshovitz-Attias_Ontological_Supervision_for_2015_CVPR_paper.pdf} booktitle = {CVPR15} },Modern search engines receive large numbers of business related local aware queries. Such queries are best answered using accurate up-to-date business listings that contain representations of business categories. Creating such listings is a challenging task as businesses often change hands or close down. For businesses with street side locations one can leverage the abundance of street level imagery such as Google Street View to automate the process. However while data is abundant labeled data is not; the limiting factor is creation of large scale labeled training data. In this work we utilize an ontology of geographical concepts to automatically propagate business category information and create a large multi label training dataset for fine grained storefront classification. Our learner which is based on the GoogLeNet/Inception Deep Convolutional Network architecture and classifies 208 categories achieves human level accuracy.,http://research.google.com/pubs/archive/43794.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Ontological+Supervision+for+Fine+Grained+Classification+of+Street+View+Storefronts+Movshovitz-Attias+Yu+Stumpe+Shet+Arnoud+Yatziv,http://research.google.com/pubs/pub43794.html
Distributed Acoustic Modeling with Back-off N-grams,Proceedings of ICASSP 2012 IEEE pp. 4129-4132,2012,Ciprian Chelba Peng Xu Fernando Pereira Thomas Richardson,@inproceedings{37681 title = {Distributed Acoustic Modeling with Back-off N-grams} author = {Ciprian Chelba and Peng Xu and Fernando Pereira and Thomas Richardson} year = 2012 booktitle = {Proceedings of ICASSP 2012} pages = {4129-4132} },The paper proposes an approach to acoustic modeling that borrows from n-gram language modeling in an attempt to scale up both the amount of training data and model size (as measured by the number of parameters in the model) to approximately 100 times larger than current sizes used in ASR. Dealing with unseen phonetic contexts is accomplished using the familiar back-off technique used in language modeling due to implementation simplicity. The new acoustic model is estimated and stored using the MapReduce distributed computing infrastructure. Speech recognition experiments are carried out in an Nbest rescoring framework for Google Voice Search. 87000 hours of training data is obtained in an unsupervised fashion by ﬁltering utterances in Voice Search logs on ASR conﬁdence. The resulting models are trained using maximum likelihood and contain 20-40 million Gaussians. They achieve relative reductions in WER of 11% and 6% over first-pass models trained using maximum likelihood and boosted MMI respectively.,http://research.google.com/pubs/archive/37681.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Distributed+Acoustic+Modeling+with+Back-off+N-grams+Chelba+Xu+Pereira+Richardson,http://research.google.com/pubs/pub37681.html
OpenFst: An Open-Source Weighted Finite-State Transducer Library and its Applications to Speech and Language,Proceedings of the North American Chapter of the Association for Computational Linguistics - Human Language Technologies (NAACL HLT) 2009 conference Tutorials,2009,Michael Riley Cyril Allauzen Martin Jansche,@inproceedings{35189 title = {OpenFst: An Open-Source Weighted Finite-State Transducer Library and its Applications to Speech and Language} author = {Michael Riley and Cyril Allauzen and Martin Jansche} year = 2009 URL = {http://aclweb.org/anthology/N09-4005} booktitle = {Proceedings of the North American Chapter of the Association for Computational Linguistics -- Human Language Technologies (NAACL HLT) 2009 conference Tutorials} },Finite-state methods are well established in language and speech processing. OpenFst (available from www.openfst.org) is a free and open-source software library for building and using ﬁnite automata in particular weighted ﬁnite-state transducers (FSTs). This tutorial is an introduction to weighted ﬁnitestate transducers and their uses in speech and language processing. While there are other weighted ﬁnite-state transducer libraries OpenFst (a) offers we believe the most comprehensive general and efﬁcient set of operations; (b) makes available full source code; (c) exposes high- and low-level C++ APIs that make it easy to embed and extend; and (d) is a platform for active research and use among many colleagues.,http://research.google.com/pubs/archive/35189.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=OpenFst:+An+Open-Source+Weighted+Finite-State+Transducer+Library+and+its+Applications+to+Speech+and+Language+Riley+Allauzen+Jansche,http://research.google.com/pubs/pub35189.html
Theoretical Advantages of Lenient Learners: An Evolutionary Game Theoretic Perspective,Journal of Machine Learning Research (2008),2008,Liviu Panait Karl Tuyls Sean Luke,@article{33014 title = {Theoretical Advantages of Lenient Learners: An Evolutionary Game Theoretic Perspective} author = {Liviu Panait and Karl Tuyls and Sean Luke} year = 2008 journal = {Journal of Machine Learning Research} },This paper presents the dynamics of multiple learning agents from an evolutionary game theoretic perspective. We provide replicator dynamics models for cooperative coevolutionary algorithms and for traditional multiagent Q-learning and we extend these differential equations to account for lenient learners: agents that forgive possible mismatched teammate actions that resulted in low rewards. We use these extended formal models to study the convergenceguarantees for these algorithms and also to visualize the basins of attraction to optimal and suboptimal solutions in two benchmark coordination problems. We demonstrate that lenience provides learners with more accurate information about the benefits of performing their actions resulting in higher likelihood of convergence to the globally optimal solution. In addition our analysis indicates that the choice of learning algorithm has an insignificant impact on the overall performance of multiagent learning algorithms; rather the performance of these algorithms depends primarily on the level of lenience that the agents exhibit to one another. Finally our research supports the strength and generality of evolutionary game theory as a backbone for multiagent learning.,http://research.google.com/pubs/archive/33014.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Theoretical+Advantages+of+Lenient+Learners:+An+Evolutionary+Game+Theoretic+Perspective+Panait+Tuyls+Luke,http://research.google.com/pubs/pub33014.html
Efficient Estimation of Quantiles in Missing Data Models,Google Inc. 111 8th Avenue (2015),2015,Ivan Diaz,@techreport{44645 title = {Efficient Estimation of Quantiles in Missing Data Models} author = {Ivan Diaz} year = 2015 URL = {http://arxiv.org/abs/1512.08110} institution = {Google Inc.} },We present a method to estimate the quantile of a variable subject to missingness under the missing at random assumption. Our proposed estimator is locally efficient root-n-consistent asymptotically normal and doubly robust under regularity conditions. We use Monte Carlo simulation to compare our proposal to the one-step and inverse-probability weighted estimators. Our estimator is superior to both competitors with a mean squared error up to 8 times smaller than the one-step estimator and up to 2.5 times smaller than an inverse probability weighted estimator. We develop extensions for estimating the causal effect of treatment on a population quantile among the treated. Our methods are motivated by an application with a heavy tailed continuous outcome. In this situation the efficiency bound for estimating the effect on the mean is often large or infinite ruling out root-n-consistent inference and reducing the power for testing hypothesis of no treatment effect. Using quantiles (e.g. the median) may yield more accurate measures of the treatment effect along with more powerful hypothesis tests. In our application the proposed estimator of the effect on the median yields hypothesis tests of no treatment effect up to two times more powerful and its variance is up to four times smaller than the variance of its mean counterpart.,http://research.google.com/pubs/archive/44645.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Efficient+Estimation+of+Quantiles+in+Missing+Data+Models+Diaz,http://research.google.com/pubs/pub44645.html
Learning Fine-grained Image Similarity with Deep Ranking,CVPR'2014 IEEE,2014,Jiang Wang Yang Song Thomas Leung Chuck Rosenberg Jingbin Wang James Philbin Bo Chen Ying Wu,@inproceedings{42945 title = {Learning Fine-grained Image Similarity with Deep Ranking} author = {Jiang Wang and Yang Song and Thomas Leung and Chuck Rosenberg and Jingbin Wang and James Philbin and Bo Chen and Ying Wu} year = 2014 booktitle = {CVPR'2014} },Learning fine-grained image similarity is a challenging task. It needs to capture between-class and within-class image differences. This paper proposes a deep ranking model that employs deep learning techniques to learn similarity metric directly from images. It has higher learning capability than models based on hand-crafted features. A novel multiscale network structure has been developed to describe the images effectively. An efficient triplet sampling algorithm is proposed to learn the model with distributed asynchronized stochastic gradient. Extensive experiments show that the proposed algorithm outperforms models based on hand-crafted visual features and deep classification models.,http://research.google.com/pubs/archive/42945.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Learning+Fine-grained+Image+Similarity+with+Deep+Ranking+Wang+Song+Leung+Rosenberg+Wang+Philbin+Chen+Wu,http://research.google.com/pubs/pub42945.html
Trust but Verify: Predicting Contribution Quality for Knowledge Base Construction and Curation,WSDM (2014) (to appear),2014,Chun How Tan Eugene Agichtein Panos Ipeirotis Evgeniy Gabrilovich,@inproceedings{42023 title = {Trust but Verify: Predicting Contribution Quality for Knowledge Base Construction and Curation} author = {Chun How Tan and Eugene Agichtein and Panos Ipeirotis and Evgeniy Gabrilovich} year = 2014 booktitle = {WSDM} },The largest publicly available knowledge repositories such as Wikipedia and Freebase owe their existence and growth to volunteer contributors around the globe. While the majority of contributions are correct errors can still creep in due to editors' carelessness misunderstanding of the schema malice or even lack of accepted ground truth. If left undetected inaccuracies often degrade the experience of users and the performance of applications that rely on these knowledge repositories. We present a new method CQUAL for automatically predicting the quality of contributions submitted to a knowledge base. Significantly expanding upon previous work our method holistically exploits a variety of signals including the user's domains of expertise as reflected in her prior contribution history and the historical accuracy rates of different types of facts. In a large-scale human evaluation our method exhibits precision of 91% at 80% recall. Our model verifies whether a contribution is correct immediately after it is submitted significantly alleviating the need for post-submission human reviewing.,http://research.google.com/pubs/archive/42023.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Trust+but+Verify:+Predicting+Contribution+Quality+for+Knowledge+Base+Construction+and+Curation+Tan+Agichtein+Ipeirotis+Gabrilovich,http://research.google.com/pubs/pub42023.html
Kernelized Structural SVM Learning for Supervised Object Segmentation,Proceedings of IEEE Conference on Computer Vision and Pattern Recognition 2011,2011,Luca Bertelli Tianli Yu Diem Vu Burak Gokturk,@inproceedings{36985 title = {Kernelized Structural SVM Learning for Supervised Object Segmentation} author = {Luca Bertelli and Tianli Yu and Diem Vu and Burak Gokturk} year = 2011 booktitle = {Proceedings of IEEE Conference on Computer Vision and Pattern Recognition 2011} },Object segmentation needs to be driven by top-down knowledge to produce semantically meaningful results. In this paper we propose a supervised segmentation approach that tightly integrates object-level top down information with low-level image cues. The information from the two levels is fused under a kernelized structural SVM learning framework. We defined a novel nonlinear kernel for comparing two image-segmentation masks. This kernel combines four different kernels: the object similarity kernel the object shape kernel the per-image color distribution kernel and the global color distribution kernel. Our experiments show that the structured SVM algorithm finds bad segmentations of the training examples given the current scoring function and punishes these bad segmentations to lower scores than the example (good) segmentations. The result is a segmentation algorithm that not only knows what good segmentations are but also learns potential segmentation mistakes and tries to avoid them. Our proposed approach can obtain comparable performance to other state-of-the-art top-down driven segmentation approaches yet is flexible enough to be applied to widely different domains.,http://research.google.com/pubs/archive/36985.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Kernelized+Structural+SVM+Learning+for+Supervised+Object+Segmentation+Bertelli+Yu+Vu+Gokturk,http://research.google.com/pubs/pub36985.html
Probabilistic Analysis of Localized DNA Hybridization Circuits,ACS Synthetic Biology (2015),2015,Neil Dalchau Harish Chandran Nikhil Gopalkrishnan Andrew Phillips John Reif,@article{43834 title = {Probabilistic Analysis of Localized DNA Hybridization Circuits} author = {Neil Dalchau and Harish Chandran and Nikhil Gopalkrishnan and Andrew Phillips and John Reif} year = 2015 URL = {http://pubs.acs.org/doi/abs/10.1021/acssynbio.5b00044} journal = {ACS Synthetic Biology} },Molecular devices made of nucleic acids can perform complex information processing tasks at the nanoscale with potential applications in biofabrication and smart therapeutics. However limitations in the speed and scalability of such devices in a well-mixed setting can significantly affect their performance. In this paper we propose designs for localized circuits involving DNA molecules that are arranged on addressable substrates and interact via hybridization reactions. We propose designs for localized elementary logic circuits which we compose to produce more complex devices including a circuit for computing the square root of a four bit number. We develop an efficient method for probabilistic model-checking of localized circuits which we implement within the Visual DSD design tool. We use this method to prove the correctness of our circuits with respect to their functional specifications and to analyze their performance over a broad range of local rate parameters. Specifically we analyze the extent to which our localized designs can overcome the limitations of well-mixed circuits with respect to speed and scalability. To provide an estimate of local rate parameters we propose a biophysical model of localized hybridization. Finally we use our analysis to identify constraints in the rate parameters that enable localized circuits to retain their advantages in the presence of unintended interferences between strands.,http://pubs.acs.org/doi/abs/10.1021/acssynbio.5b00044,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Probabilistic+Analysis+of+Localized+DNA+Hybridization+Circuits+Dalchau+Chandran+Gopalkrishnan+Phillips+Reif,http://research.google.com/pubs/pub43834.html
Web Coverage in the UK and its Potential Impact on General Population Web Surveys,Web surveys for the general population: How why and when? 25-26 February 2013. Institute of Education London (2013),2013,Mario Callegaro,@inproceedings{41149 title = {Web Coverage in the UK and its Potential Impact on General Population Web Surveys} author = {Mario Callegaro} year = 2013 URL = {http://www.natcenweb.co.uk/genpopweb/documents/Mario-Callegaro.pdf} booktitle = {Web surveys for the general population: How why and when?} },Mario Callegaro (Google UK) provided some data on internet access in the UK and the digital divide. He concluded that the UK internet access is steadily increasing and is likely to soon reach a level of almost universal coverage. But high coverage does not imply that everyone with access would be capable or willing to take part in web surveys. Furthermore internet access is becoming mobile (e.g. Smartphone) and respondents are using a wide variety of devices to answer web surveys. Making web surveys,http://www.natcenweb.co.uk/genpopweb/documents/Mario-Callegaro.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Web+Coverage+in+the+UK+and+its+Potential+Impact+on+General+Population+Web+Surveys+Callegaro,http://research.google.com/pubs/pub41149.html
Towards Energy Proportionality for Large-Scale Latency-Critical Workloads,Proceedings of the 41th Annual International Symposium on Computer Architecture ACM (2014),2014,David Lo Liqun Cheng Rama Govindaraju Luiz André Barroso Christos Kozyrakis,@inproceedings{42523 title = {Towards Energy Proportionality for Large-Scale Latency-Critical Workloads} author = {David Lo and Liqun Cheng and Rama Govindaraju and Luiz André Barroso and Christos Kozyrakis} year = 2014 booktitle = {Proceedings of the 41th Annual International Symposium on Computer Architecture} },Reducing the energy footprint of warehouse-scale computer (WSC) systems is key to their affordability yet difficult to achieve in practice. The lack of energy proportionality of typical WSC hardware and the fact that important workloads (such as search) require all servers to remain up regardless of traffic intensity renders existing power management techniques ineffective at reducing WSC energy use. We present PEGASUS a feedback-based controller that significantly improves the energy proportionality of WSC systems as demonstrated by a real implementation in a Google search cluster. PEGASUS uses request latency statistics to dynamically adjust server power management limits in a fine-grain manner running each server just fast enough to meet global service-level latency objectives. In large cluster experiments PEGASUS reduces power consumption by up to 20%. We also estimate that a distributed version of PEGASUS can nearly double these savings.,http://research.google.com/pubs/archive/42523.pdf,http://www.google.com/search?lr&ie=UTF-8&oe=UTF-8&q=Towards+Energy+Proportionality+for+Large-Scale+Latency-Critical+Workloads+Lo+Cheng+Govindaraju+Barroso+Kozyrakis,http://research.google.com/pubs/pub42523.html
